draw,analysis,true_net_value_per_user
125,Treat all,0.20468916545184157
126,Clean DRLearner,0.2737548916090408
126,Too-simple LinearDML,0.2799681126975262
126,Leaky CausalForestDML,0.01770417555286761
126,Post-treatment control,0.2693018476888728
126,Treat none,0.0
126,Treat all,0.20294466666008948
127,Clean DRLearner,0.2756700480029248
127,Too-simple LinearDML,0.282323647970773
127,Leaky CausalForestDML,0.014865552104219224
127,Post-treatment control,0.27068403234149413
127,Treat none,0.0
127,Treat all,0.20083579432005835
128,Clean DRLearner,0.28993146169058437
128,Too-simple LinearDML,0.3024353869873325
128,Leaky CausalForestDML,0.02119471082768818
128,Post-treatment control,0.290676897397032
128,Treat none,0.0
128,Treat all,0.22249277293088424
129,Clean DRLearner,0.279609183804408
129,Too-simple LinearDML,0.2873698849411025
129,Leaky CausalForestDML,0.01582027806049366
129,Post-treatment control,0.2764180736689686
129,Treat none,0.0
129,Treat all,0.20946305140404126
130,Clean DRLearner,0.2713802478292023
130,Too-simple LinearDML,0.2820842627720937
130,Leaky CausalForestDML,0.02219810246854273
130,Post-treatment control,0.27149266846187187
130,Treat none,0.0
130,Treat all,0.19189865011159238
131,Clean DRLearner,0.26513520059940787
131,Too-simple LinearDML,0.2756148126443908
131,Leaky CausalForestDML,0.013831877228137748
131,Post-treatment control,0.26460213683924905
131,Treat none,0.0
131,Treat all,0.1958319592628758
132,Clean DRLearner,0.2812704764338615
132,Too-simple LinearDML,0.2933615021977168
132,Leaky CausalForestDML,0.017050358390662438
132,Post-treatment control,0.28161962270547647
132,Treat none,0.0
132,Treat all,0.2143007057825595
133,Clean DRLearner,0.27795740072836844
133,Too-simple LinearDML,0.28804975661793386
133,Leaky CausalForestDML,0.021475445053088633
133,Post-treatment control,0.2771319752358296
133,Treat none,0.0
133,Treat all,0.2097149277214388
134,Clean DRLearner,0.3005164525850592
134,Too-simple LinearDML,0.30898078333780554
134,Leaky CausalForestDML,0.015286310162790497
134,Post-treatment control,0.30159700098538283
134,Treat none,0.0
134,Treat all,0.24607423256131294
135,Clean DRLearner,0.27726213827214496
135,Too-simple LinearDML,0.2873991270335292
135,Leaky CausalForestDML,0.022390761352094123
135,Post-treatment control,0.2788862046901442
135,Treat none,0.0
135,Treat all,0.20460860749416349
136,Clean DRLearner,0.27778410841535645
136,Too-simple LinearDML,0.2855302962668994
136,Leaky CausalForestDML,0.015231870567857162
136,Post-treatment control,0.2765125458156301
136,Treat none,0.0
136,Treat all,0.20068380259625268
137,Clean DRLearner,0.28067641528685133
137,Too-simple LinearDML,0.28946341648227375
137,Leaky CausalForestDML,0.021198304759692442
137,Post-treatment control,0.2810622924974513
137,Treat none,0.0
137,Treat all,0.2137036984848013
138,Clean DRLearner,0.28288089418647105
138,Too-simple LinearDML,0.2918826490058361
138,Leaky CausalForestDML,0.01735301943901787
138,Post-treatment control,0.28409426136108146
138,Treat none,0.0
138,Treat all,0.21556581309633993
139,Clean DRLearner,0.2838576537923443
139,Too-simple LinearDML,0.2939079647302064
139,Leaky CausalForestDML,0.019822884679492284
139,Post-treatment control,0.2842584046742797
139,Treat none,0.0
139,Treat all,0.21852762401179962
140,Clean DRLearner,0.28315495938959445
140,Too-simple LinearDML,0.2895287483758524
140,Leaky CausalForestDML,0.01923531956685323
140,Post-treatment control,0.2765773337817136
140,Treat none,0.0
140,Treat all,0.21532610856561935
141,Clean DRLearner,0.27202074971073814
141,Too-simple LinearDML,0.2829986752881312
141,Leaky CausalForestDML,0.01995300243085529
141,Post-treatment control,0.2722876044127184
141,Treat none,0.0
141,Treat all,0.20386534644419013
142,Clean DRLearner,0.27296277958637377
142,Too-simple LinearDML,0.2790524231388182
142,Leaky CausalForestDML,0.01836612407472385
142,Post-treatment control,0.26769843572192714
142,Treat none,0.0
142,Treat all,0.20059177996516522
143,Clean DRLearner,0.28145423868304253
143,Too-simple LinearDML,0.2908966109775955
143,Leaky CausalForestDML,0.02141414278214398
143,Post-treatment control,0.2803057176504847
143,Treat none,0.0
143,Treat all,0.21697925002863752
144,Clean DRLearner,0.2841506178364115
144,Too-simple LinearDML,0.29339480196254125
144,Leaky CausalForestDML,0.019142423827278578
144,Post-treatment control,0.28401264624461975
144,Treat none,0.0
144,Treat all,0.2167569949994111
145,Clean DRLearner,0.2758536481186425
145,Too-simple LinearDML,0.28864085793147237
145,Leaky CausalForestDML,0.01631257516448288
145,Post-treatment control,0.27613421453336096
145,Treat none,0.0
145,Treat all,0.21398207085824714
146,Clean DRLearner,0.2745904653865918
146,Too-simple LinearDML,0.2853635849149501
146,Leaky CausalForestDML,0.019658447738041155
146,Post-treatment control,0.27266184313180375
146,Treat none,0.0
146,Treat all,0.20481304526681857
147,Clean DRLearner,0.2873082723883938
147,Too-simple LinearDML,0.2951657427826416
147,Leaky CausalForestDML,0.01468684323351018
147,Post-treatment control,0.28347956116082296
147,Treat none,0.0
147,Treat all,0.21847007535717422
148,Clean DRLearner,0.29118458722312823
148,Too-simple LinearDML,0.3017041832752337
148,Leaky CausalForestDML,0.021400750175728425
148,Post-treatment control,0.289825978796298
148,Treat none,0.0
148,Treat all,0.21752081510443602
149,Clean DRLearner,0.27124447281102265
149,Too-simple LinearDML,0.2806739685609359
149,Leaky CausalForestDML,0.012203527963901107
149,Post-treatment control,0.2674316789546954
149,Treat none,0.0
149,Treat all,0.19667274525773218
150,Clean DRLearner,0.28357220628473845
150,Too-simple LinearDML,0.29512816447330703
150,Leaky CausalForestDML,0.02029162779180392
150,Post-treatment control,0.2843281196477481
150,Treat none,0.0
150,Treat all,0.2158770022692
151,Clean DRLearner,0.29050670521563154
151,Too-simple LinearDML,0.3027785694409142
151,Leaky CausalForestDML,0.017681176529626055
151,Post-treatment control,0.2930781463301584
151,Treat none,0.0
151,Treat all,0.22586557516475628
152,Clean DRLearner,0.2742357690503254
152,Too-simple LinearDML,0.2885417033723738
152,Leaky CausalForestDML,0.02033511078528358
152,Post-treatment control,0.2765440898335367
152,Treat none,0.0
152,Treat all,0.21066330163603642
153,Clean DRLearner,0.2711131869712449
153,Too-simple LinearDML,0.28103209125543194
153,Leaky CausalForestDML,0.01742595838816991
153,Post-treatment control,0.2674223593026618
153,Treat none,0.0
153,Treat all,0.19680121246434937
154,Clean DRLearner,0.2658836544862386
154,Too-simple LinearDML,0.2743214106051365
154,Leaky CausalForestDML,0.01309652420397519
154,Post-treatment control,0.26389947052997836
154,Treat none,0.0
154,Treat all,0.19207675930495444
155,Clean DRLearner,0.29069451005856306
155,Too-simple LinearDML,0.30365243567080114
155,Leaky CausalForestDML,0.0177878369842647
155,Post-treatment control,0.29407357750323526
155,Treat none,0.0
155,Treat all,0.22709459252599037
156,Clean DRLearner,0.2858159728387852
156,Too-simple LinearDML,0.29256355988672816
156,Leaky CausalForestDML,0.015887193584147884
156,Post-treatment control,0.2836191359240066
156,Treat none,0.0
156,Treat all,0.22214534746169812
157,Clean DRLearner,0.29057915652716226
157,Too-simple LinearDML,0.3025970903535054
157,Leaky CausalForestDML,0.01782595340832489
157,Post-treatment control,0.29537406746678985
157,Treat none,0.0
157,Treat all,0.22436222761058192
158,Clean DRLearner,0.2685560856490543
158,Too-simple LinearDML,0.28011023513631955
158,Leaky CausalForestDML,0.018576519510233157
158,Post-treatment control,0.27076304315707567
158,Treat none,0.0
158,Treat all,0.20096831593794978
159,Clean DRLearner,0.27509890571000895
159,Too-simple LinearDML,0.28349765990148834
159,Leaky CausalForestDML,0.012181404354191652
159,Post-treatment control,0.27304358089524783
159,Treat none,0.0
159,Treat all,0.20407378411381108
160,Clean DRLearner,0.28071235225015734
160,Too-simple LinearDML,0.2914132501874607
160,Leaky CausalForestDML,0.02376115276599656
160,Post-treatment control,0.2794181415467391
160,Treat none,0.0
160,Treat all,0.21339904123625078
161,Clean DRLearner,0.2682451632516843
161,Too-simple LinearDML,0.28118152258024737
161,Leaky CausalForestDML,0.020252378879246382
161,Post-treatment control,0.2673344833273235
161,Treat none,0.0
161,Treat all,0.2014125711611339
162,Clean DRLearner,0.2862763215773662
162,Too-simple LinearDML,0.29619141985608743
162,Leaky CausalForestDML,0.015188342856090744
162,Post-treatment control,0.2838442108245657
162,Treat none,0.0
162,Treat all,0.2111966916925628
163,Clean DRLearner,0.2754174411483589
163,Too-simple LinearDML,0.2859058367269049
163,Leaky CausalForestDML,0.016804203232692137
163,Post-treatment control,0.2736683802605704
163,Treat none,0.0
163,Treat all,0.19982066834485074
164,Clean DRLearner,0.29247918973715825
164,Too-simple LinearDML,0.30427443702977347
164,Leaky CausalForestDML,0.023916120296749763
164,Post-treatment control,0.29369701793758257
164,Treat none,0.0
164,Treat all,0.22701478752826304
165,Clean DRLearner,0.27791473628788443
165,Too-simple LinearDML,0.2871341172672268
165,Leaky CausalForestDML,0.017225620892461862
165,Post-treatment control,0.2748212367942013
165,Treat none,0.0
165,Treat all,0.21103648666005195
166,Clean DRLearner,0.29942348835901
166,Too-simple LinearDML,0.3120521623600292
166,Leaky CausalForestDML,0.018455212305839325
166,Post-treatment control,0.3005826857609098
166,Treat none,0.0
166,Treat all,0.2365338489093096
167,Clean DRLearner,0.280171047484653
167,Too-simple LinearDML,0.2913136175565574
167,Leaky CausalForestDML,0.014296880129042998
167,Post-treatment control,0.2816058329281473
167,Treat none,0.0
167,Treat all,0.21216385999785822
168,Clean DRLearner,0.2567629050992664
168,Too-simple LinearDML,0.2686908234722694
168,Leaky CausalForestDML,0.01394928664439842
168,Post-treatment control,0.2549802500682316
168,Treat none,0.0
168,Treat all,0.18018531671851332
169,Clean DRLearner,0.2798134681650048
169,Too-simple LinearDML,0.2884821281067979
169,Leaky CausalForestDML,0.025747915662097994
169,Post-treatment control,0.2784984206616402
169,Treat none,0.0
169,Treat all,0.20805136701267526
170,Clean DRLearner,0.2756529678296984
170,Too-simple LinearDML,0.28645025583485983
170,Leaky CausalForestDML,0.018208585248087363
170,Post-treatment control,0.27316344446984686
170,Treat none,0.0
170,Treat all,0.20644058498055096
171,Clean DRLearner,0.2822150089505193
171,Too-simple LinearDML,0.2935235527583594
171,Leaky CausalForestDML,0.014515890890176934
171,Post-treatment control,0.28207270399063533
171,Treat none,0.0
171,Treat all,0.21921959078923603
172,Clean DRLearner,0.2733061391048152
172,Too-simple LinearDML,0.2825939491581933
172,Leaky CausalForestDML,0.019018947201070273
172,Post-treatment control,0.26550313959548427
172,Treat none,0.0
172,Treat all,0.1990379553526381
173,Clean DRLearner,0.27608415441223544
173,Too-simple LinearDML,0.2873711095422199
173,Leaky CausalForestDML,0.012189556525596138
173,Post-treatment control,0.27620046985047986
173,Treat none,0.0
173,Treat all,0.2083367488604802
174,Clean DRLearner,0.2952438195021733
174,Too-simple LinearDML,0.305668303204685
174,Leaky CausalForestDML,0.021659308093690766
174,Post-treatment control,0.2939290830209772
174,Treat none,0.0
174,Treat all,0.22770556245254803
175,Clean DRLearner,0.28995120675319697
175,Too-simple LinearDML,0.29965552244842864
175,Leaky CausalForestDML,0.01785712855215809
175,Post-treatment control,0.2871993580491337
175,Treat none,0.0
175,Treat all,0.22940085349049227
176,Clean DRLearner,0.2917603385003574
176,Too-simple LinearDML,0.29994806024703335
176,Leaky CausalForestDML,0.02810840409846219
176,Post-treatment control,0.2928668465544812
176,Treat none,0.0
176,Treat all,0.221534206091055
177,Clean DRLearner,0.2750213165856352
177,Too-simple LinearDML,0.28411210099908446
177,Leaky CausalForestDML,0.01938267410493092
177,Post-treatment control,0.27231718751251743
177,Treat none,0.0
177,Treat all,0.20632584745322735
178,Clean DRLearner,0.277254251549002
178,Too-simple LinearDML,0.28801760190807
178,Leaky CausalForestDML,0.02090722908525704
178,Post-treatment control,0.275239522281435
178,Treat none,0.0
178,Treat all,0.20142423956891134
179,Clean DRLearner,0.2810530573374088
179,Too-simple LinearDML,0.2895820350687054
179,Leaky CausalForestDML,0.0187307859091596
179,Post-treatment control,0.27614785020846844
179,Treat none,0.0
179,Treat all,0.2049159847582435
180,Clean DRLearner,0.2735539933944576
180,Too-simple LinearDML,0.28013704305244325
180,Leaky CausalForestDML,0.02029216341454576
180,Post-treatment control,0.26989383203848016
180,Treat none,0.0
180,Treat all,0.20324361330431545
181,Clean DRLearner,0.2807772310071553
181,Too-simple LinearDML,0.2931870731549855
181,Leaky CausalForestDML,0.015376380121726194
181,Post-treatment control,0.28160641785849067
181,Treat none,0.0
181,Treat all,0.21150406357660081
182,Clean DRLearner,0.2701130126497395
182,Too-simple LinearDML,0.28052084635827523
182,Leaky CausalForestDML,0.015338848556704967
182,Post-treatment control,0.2659239716909592
182,Treat none,0.0
182,Treat all,0.20054193402773432
183,Clean DRLearner,0.2742835859620299
183,Too-simple LinearDML,0.2816632657087251
183,Leaky CausalForestDML,0.022659168880287784
183,Post-treatment control,0.27188917708437366
183,Treat none,0.0
183,Treat all,0.20218934393880258
184,Clean DRLearner,0.2731918948893138
184,Too-simple LinearDML,0.2845093929763611
184,Leaky CausalForestDML,0.014100321566212083
184,Post-treatment control,0.27290794073127334
184,Treat none,0.0
184,Treat all,0.2081021068365853
185,Clean DRLearner,0.2767788723109095
185,Too-simple LinearDML,0.28541047518738577
185,Leaky CausalForestDML,0.016234927551206382
185,Post-treatment control,0.2719328523355783
185,Treat none,0.0
185,Treat all,0.19723872253866498
186,Clean DRLearner,0.2918239203156185
186,Too-simple LinearDML,0.3007563425253046
186,Leaky CausalForestDML,0.018764763442709335
186,Post-treatment control,0.29426044980861843
186,Treat none,0.0
186,Treat all,0.2190900843246794
187,Clean DRLearner,0.2943950942440916
187,Too-simple LinearDML,0.3027137757219049
187,Leaky CausalForestDML,0.019708009926298453
187,Post-treatment control,0.29304390790009877
187,Treat none,0.0
187,Treat all,0.227374202015996
188,Clean DRLearner,0.27745369949873483
188,Too-simple LinearDML,0.2840927418549109
188,Leaky CausalForestDML,0.017075351312207596
188,Post-treatment control,0.27115986405556386
188,Treat none,0.0
188,Treat all,0.2033363220852069
189,Clean DRLearner,0.29549058889340407
189,Too-simple LinearDML,0.30546085329653366
189,Leaky CausalForestDML,0.02210667988461552
189,Post-treatment control,0.29399006307004183
189,Treat none,0.0
189,Treat all,0.2306558967839195
190,Clean DRLearner,0.28633950469698993
190,Too-simple LinearDML,0.2979278169023528
190,Leaky CausalForestDML,0.021545233180859675
190,Post-treatment control,0.288175419355894
190,Treat none,0.0
190,Treat all,0.22535367608801904
191,Clean DRLearner,0.28055381526968026
191,Too-simple LinearDML,0.29323848089341525
191,Leaky CausalForestDML,0.02578583080538876
191,Post-treatment control,0.2830048458189773
191,Treat none,0.0
191,Treat all,0.2201456148220887
192,Clean DRLearner,0.2806873753946013
192,Too-simple LinearDML,0.2896286139702244
192,Leaky CausalForestDML,0.011419247499656313
192,Post-treatment control,0.2783013481837883
192,Treat none,0.0
192,Treat all,0.20571559613120954
193,Clean DRLearner,0.2859685769900799
193,Too-simple LinearDML,0.30034323282355063
193,Leaky CausalForestDML,0.01864402059996382
193,Post-treatment control,0.2855408308230278
193,Treat none,0.0
193,Treat all,0.22251697285171476
194,Clean DRLearner,0.2866431786332763
194,Too-simple LinearDML,0.2977882906047743
194,Leaky CausalForestDML,0.015995987122729188
194,Post-treatment control,0.28724919864770504
194,Treat none,0.0
194,Treat all,0.22210097213289062
195,Clean DRLearner,0.2948935372800218
195,Too-simple LinearDML,0.30267573630590916
195,Leaky CausalForestDML,0.02653206986765844
195,Post-treatment control,0.29235322372586003
195,Treat none,0.0
195,Treat all,0.22507934572224078
196,Clean DRLearner,0.2985710768749306
196,Too-simple LinearDML,0.30746871922069485
196,Leaky CausalForestDML,0.03162103255656162
196,Post-treatment control,0.2957426448864861
196,Treat none,0.0
196,Treat all,0.22971972573527352
197,Clean DRLearner,0.2723538086323348
197,Too-simple LinearDML,0.28274675517718484
197,Leaky CausalForestDML,0.010320763977783184
197,Post-treatment control,0.2705019269586014
197,Treat none,0.0
197,Treat all,0.2034553885833473
198,Clean DRLearner,0.2942969830086647
198,Too-simple LinearDML,0.3026276051116708
198,Leaky CausalForestDML,0.01917353357900189
198,Post-treatment control,0.2914202077589814
198,Treat none,0.0
198,Treat all,0.22174441900687636
199,Clean DRLearner,0.27874685976915986
199,Too-simple LinearDML,0.28790555042861987
199,Leaky CausalForestDML,0.018161272547151337
199,Post-treatment control,0.27856266194641743
199,Treat none,0.0
199,Treat all,0.20761648268196164
200,Clean DRLearner,0.28395500980121297
200,Too-simple LinearDML,0.29318772791377995
200,Leaky CausalForestDML,0.02138181858924518
200,Post-treatment control,0.2817627064269467
200,Treat none,0.0
200,Treat all,0.21373627149900265
201,Clean DRLearner,0.27317359102547056
201,Too-simple LinearDML,0.28518143158019627
201,Leaky CausalForestDML,0.020212282097508475
201,Post-treatment control,0.2737213854494251
201,Treat none,0.0
201,Treat all,0.20645335881692758
202,Clean DRLearner,0.275548060504106
202,Too-simple LinearDML,0.2841564422458212
202,Leaky CausalForestDML,0.02296865965778865
202,Post-treatment control,0.27351934789113924
202,Treat none,0.0
202,Treat all,0.211463915603517
203,Clean DRLearner,0.293546235587481
203,Too-simple LinearDML,0.30336615537996736
203,Leaky CausalForestDML,0.019067878933668618
203,Post-treatment control,0.2958601566177276
203,Treat none,0.0
203,Treat all,0.22905729538006586
204,Clean DRLearner,0.28034856552112963
204,Too-simple LinearDML,0.2908358654884182
204,Leaky CausalForestDML,0.01578967047621199
204,Post-treatment control,0.28054724246924184
204,Treat none,0.0
204,Treat all,0.21513954505894528
205,Clean DRLearner,0.26915585134287734
205,Too-simple LinearDML,0.2808908692244436
205,Leaky CausalForestDML,0.019769980983261187
205,Post-treatment control,0.2671039648526216
205,Treat none,0.0
205,Treat all,0.2003831122682813
206,Clean DRLearner,0.28397186216601844
206,Too-simple LinearDML,0.29315343263005045
206,Leaky CausalForestDML,0.01617998662709908
206,Post-treatment control,0.2826009225888945
206,Treat none,0.0
206,Treat all,0.21827237913817438
207,Clean DRLearner,0.26745785567997415
207,Too-simple LinearDML,0.27688382043384163
207,Leaky CausalForestDML,0.019110550971918015
207,Post-treatment control,0.2642904188696486
207,Treat none,0.0
207,Treat all,0.1887163899179068
208,Clean DRLearner,0.2895633636811586
208,Too-simple LinearDML,0.3002548257154484
208,Leaky CausalForestDML,0.025018531094219525
208,Post-treatment control,0.2908910828859644
208,Treat none,0.0
208,Treat all,0.22637838514645311
209,Clean DRLearner,0.28200093942200377
209,Too-simple LinearDML,0.29317680389587825
209,Leaky CausalForestDML,0.021471395155494587
209,Post-treatment control,0.28329769709615266
209,Treat none,0.0
209,Treat all,0.21744613114956518
210,Clean DRLearner,0.28066056360429564
210,Too-simple LinearDML,0.29368992752523326
210,Leaky CausalForestDML,0.024530554405046846
210,Post-treatment control,0.2828691568133498
210,Treat none,0.0
210,Treat all,0.21459806603019257
211,Clean DRLearner,0.2657066517455839
211,Too-simple LinearDML,0.27467168758742444
211,Leaky CausalForestDML,0.018515451946366474
211,Post-treatment control,0.26675020234236924
211,Treat none,0.0
211,Treat all,0.19315698819946134
212,Clean DRLearner,0.2793605856530614
212,Too-simple LinearDML,0.2880591928468579
212,Leaky CausalForestDML,0.013763107315317286
212,Post-treatment control,0.27509276988484355
212,Treat none,0.0
212,Treat all,0.21319282844783302
213,Clean DRLearner,0.2801355991115818
213,Too-simple LinearDML,0.2898909529426032
213,Leaky CausalForestDML,0.02044627280512699
213,Post-treatment control,0.2777111006021232
213,Treat none,0.0
213,Treat all,0.20532942012024055
214,Clean DRLearner,0.2660113470586351
214,Too-simple LinearDML,0.2791937125113191
214,Leaky CausalForestDML,0.016676702248572973
214,Post-treatment control,0.2683747495987817
214,Treat none,0.0
214,Treat all,0.20080163787713654
215,Clean DRLearner,0.2863318880783153
215,Too-simple LinearDML,0.29740778175717203
215,Leaky CausalForestDML,0.014318583300106246
215,Post-treatment control,0.28730172430822903
215,Treat none,0.0
215,Treat all,0.2224912313310129
216,Clean DRLearner,0.2699970648770905
216,Too-simple LinearDML,0.2792067084082516
216,Leaky CausalForestDML,0.016285135297248367
216,Post-treatment control,0.2692884294144064
216,Treat none,0.0
216,Treat all,0.19731589011302603
217,Clean DRLearner,0.29144204952627023
217,Too-simple LinearDML,0.30143940477644027
217,Leaky CausalForestDML,0.023013297449073496
217,Post-treatment control,0.2918002760381199
217,Treat none,0.0
217,Treat all,0.22990524709021382
218,Clean DRLearner,0.29399811034992535
218,Too-simple LinearDML,0.3037559822349434
218,Leaky CausalForestDML,0.023183374851541535
218,Post-treatment control,0.2930153441425865
218,Treat none,0.0
218,Treat all,0.22623283605065747
219,Clean DRLearner,0.29200860109965837
219,Too-simple LinearDML,0.30138156692946944
219,Leaky CausalForestDML,0.02276092926688232
219,Post-treatment control,0.29489185706770454
219,Treat none,0.0
219,Treat all,0.22421027189616763
220,Clean DRLearner,0.2811344022325712
220,Too-simple LinearDML,0.29079147101047575
220,Leaky CausalForestDML,0.023007491510343807
220,Post-treatment control,0.2803386929841743
220,Treat none,0.0
220,Treat all,0.2094073393195231
221,Clean DRLearner,0.28997980163255593
221,Too-simple LinearDML,0.2990172274640367
221,Leaky CausalForestDML,0.02141573688372281
221,Post-treatment control,0.2858914260770493
221,Treat none,0.0
221,Treat all,0.22061042421472454
222,Clean DRLearner,0.2786901776192438
222,Too-simple LinearDML,0.2880895906427989
222,Leaky CausalForestDML,0.01947729236866684
222,Post-treatment control,0.27667690801978323
222,Treat none,0.0
222,Treat all,0.20427543101943574
223,Clean DRLearner,0.301629171395314
223,Too-simple LinearDML,0.3094545981206339
223,Leaky CausalForestDML,0.02610934609272205
223,Post-treatment control,0.29800511405314195
223,Treat none,0.0
223,Treat all,0.23513700461510095
224,Clean DRLearner,0.27537437168323503
224,Too-simple LinearDML,0.2856508274813267
224,Leaky CausalForestDML,0.016368255999984815
224,Post-treatment control,0.2710728984577543
224,Treat none,0.0
224,Treat all,0.20246621623595162
225,Clean DRLearner,0.2845310322446341
225,Too-simple LinearDML,0.2934340765739699
225,Leaky CausalForestDML,0.014362617623519926
225,Post-treatment control,0.28471044918944877
225,Treat none,0.0
225,Treat all,0.21555473842163964
226,Clean DRLearner,0.2819555678514765
226,Too-simple LinearDML,0.29034617158166537
226,Leaky CausalForestDML,0.023981761962657718
226,Post-treatment control,0.2775389975405151
226,Treat none,0.0
226,Treat all,0.21012982899464214
227,Clean DRLearner,0.28257405373805694
227,Too-simple LinearDML,0.29442644076056496
227,Leaky CausalForestDML,0.01725655073688643
227,Post-treatment control,0.28320479039010577
227,Treat none,0.0
227,Treat all,0.21921494403388347
228,Clean DRLearner,0.2919333693467363
228,Too-simple LinearDML,0.3011539430498122
228,Leaky CausalForestDML,0.019714105796458953
228,Post-treatment control,0.2903532709679146
228,Treat none,0.0
228,Treat all,0.22620304117233153
229,Clean DRLearner,0.2768300690644506
229,Too-simple LinearDML,0.2872929655347722
229,Leaky CausalForestDML,0.01853559680652116
229,Post-treatment control,0.27581282664352424
229,Treat none,0.0
229,Treat all,0.199762335404355
230,Clean DRLearner,0.2898397722409667
230,Too-simple LinearDML,0.2978444494190685
230,Leaky CausalForestDML,0.018885550792187004
230,Post-treatment control,0.2886873387006627
230,Treat none,0.0
230,Treat all,0.21371048351762614
231,Clean DRLearner,0.2767325392049826
231,Too-simple LinearDML,0.2887053645704858
231,Leaky CausalForestDML,0.016439123662767154
231,Post-treatment control,0.2791832179051195
231,Treat none,0.0
231,Treat all,0.21036763217907842
232,Clean DRLearner,0.2839700927580914
232,Too-simple LinearDML,0.2911820541059616
232,Leaky CausalForestDML,0.01734654897614231
232,Post-treatment control,0.280148860101059
232,Treat none,0.0
232,Treat all,0.216978188222462
233,Clean DRLearner,0.28027907280342224
233,Too-simple LinearDML,0.2885490075138757
233,Leaky CausalForestDML,0.023190014322361015
233,Post-treatment control,0.27752437016908804
233,Treat none,0.0
233,Treat all,0.21266568920001055
234,Clean DRLearner,0.26996624383112905
234,Too-simple LinearDML,0.28136298992496417
234,Leaky CausalForestDML,0.016720168166355447
234,Post-treatment control,0.2683621891315797
234,Treat none,0.0
234,Treat all,0.2005737304418961
235,Clean DRLearner,0.2904707151012964
235,Too-simple LinearDML,0.3016303627356169
235,Leaky CausalForestDML,0.018716910151765093
235,Post-treatment control,0.289837339633159
235,Treat none,0.0
235,Treat all,0.22310583201648262
236,Clean DRLearner,0.2953545928535662
236,Too-simple LinearDML,0.30552596785144154
236,Leaky CausalForestDML,0.025458750952016367
236,Post-treatment control,0.2946203199880087
236,Treat none,0.0
236,Treat all,0.22800612085408684
237,Clean DRLearner,0.28552301245586736
237,Too-simple LinearDML,0.2935881640899372
237,Leaky CausalForestDML,0.022639247059324834
237,Post-treatment control,0.2850805784927077
237,Treat none,0.0
237,Treat all,0.21404580990829614
238,Clean DRLearner,0.28078924824734697
238,Too-simple LinearDML,0.2892965095375556
238,Leaky CausalForestDML,0.020946513582669763
238,Post-treatment control,0.2803403548400037
238,Treat none,0.0
238,Treat all,0.21540271748754655
239,Clean DRLearner,0.2895718147985763
239,Too-simple LinearDML,0.3001431418954762
239,Leaky CausalForestDML,0.02156190831250053
239,Post-treatment control,0.2885273439150095
239,Treat none,0.0
239,Treat all,0.22689215981484373
240,Clean DRLearner,0.2725566746796819
240,Too-simple LinearDML,0.2873856833138354
240,Leaky CausalForestDML,0.019646861572905516
240,Post-treatment control,0.27512315327853765
240,Treat none,0.0
240,Treat all,0.21130006264764672
241,Clean DRLearner,0.2810582900045568
241,Too-simple LinearDML,0.2897675318164053
241,Leaky CausalForestDML,0.01619643856833363
241,Post-treatment control,0.2777943137716534
241,Treat none,0.0
241,Treat all,0.21176529304345681
242,Clean DRLearner,0.28548692794848074
242,Too-simple LinearDML,0.29466878378124395
242,Leaky CausalForestDML,0.016746242475139853
242,Post-treatment control,0.284818984327615
242,Treat none,0.0
242,Treat all,0.2189302619217889
243,Clean DRLearner,0.28015681442713763
243,Too-simple LinearDML,0.28919831519472416
243,Leaky CausalForestDML,0.028332322725873764
243,Post-treatment control,0.2798098186886547
243,Treat none,0.0
243,Treat all,0.205397566410324
244,Clean DRLearner,0.29583604563213056
244,Too-simple LinearDML,0.30699281572495923
244,Leaky CausalForestDML,0.014018255090276141
244,Post-treatment control,0.29399150373701055
244,Treat none,0.0
244,Treat all,0.2330243777247443
245,Clean DRLearner,0.2655129805910235
245,Too-simple LinearDML,0.2782715249506569
245,Leaky CausalForestDML,0.01945085371934272
245,Post-treatment control,0.2632199770965382
245,Treat none,0.0
245,Treat all,0.19454481715486688
246,Clean DRLearner,0.2906067672167815
246,Too-simple LinearDML,0.30138738219075545
246,Leaky CausalForestDML,0.019384097193663293
246,Post-treatment control,0.28894029290793183
246,Treat none,0.0
246,Treat all,0.22142140722933168
247,Clean DRLearner,0.2796878883979729
247,Too-simple LinearDML,0.29121196053135534
247,Leaky CausalForestDML,0.019370111840669172
247,Post-treatment control,0.2807850366924808
247,Treat none,0.0
247,Treat all,0.21785007699755732
248,Clean DRLearner,0.26970379002535855
248,Too-simple LinearDML,0.2778487116287964
248,Leaky CausalForestDML,0.020463354266223616
248,Post-treatment control,0.26851422544084125
248,Treat none,0.0
248,Treat all,0.20051081718478153
249,Clean DRLearner,0.29449307870875846
249,Too-simple LinearDML,0.3111434190135221
249,Leaky CausalForestDML,0.018105768272159036
249,Post-treatment control,0.2986302067329831
249,Treat none,0.0
249,Treat all,0.23250233690033975
250,Clean DRLearner,0.2703696734335425
250,Too-simple LinearDML,0.28063983894822037
250,Leaky CausalForestDML,0.01893466305167224
250,Post-treatment control,0.2691573015994096
250,Treat none,0.0
250,Treat all,0.20469969793073123
251,Clean DRLearner,0.28041559871671706
251,Too-simple LinearDML,0.2904526578592137
251,Leaky CausalForestDML,0.014774529632410782
251,Post-treatment control,0.280051176737639
251,Treat none,0.0
251,Treat all,0.21219452131579603
